Admission Number,Name,Standard
1039,ADITYA SINGH RAJPUTugfshgufheuh fh,class_9
1040,AJAY KUMAR SONI,class_9
1041,ALKA VERMA,class_9
1830,KRITIKA KHANDEKAR,class_9
1831,SHIVAM SINGH,class_8
1832,SHI SINGH,class_8
10323,ADITYA SINGH RAJPUTugfshgufheuh fh,class_9
1042,AJAY KUMAR SONI,class_9
1021,ALKA VERMA,class_9
18332,KRITIKA KHANDEKAR,class_9
18323,SHIVAM SINGH,class_8
18323,SHI SINGH,class_8
103987,ADITYA SINGH RAJPUTugfshgufheuh fh,class_9
104087,AJAY KUMAR SONI,class_9
104187,ALKA VERMA,class_9
1838750,KRITIKA KHANDEKAR,class_9
18381,SHIVAM SINGH,class_8
18328,SHI SINGH,class_8
103439,ADITYA SINGH RAJPUTugfshgufheuh fh,class_9
10740,AJAY KUMAR SONI,class_9
106341,ALKA VERMA,class_9
1889530,KRITIKA KHANDEKAR,class_9
18831,SHIVAM SINGH,class_8
188032,SHI SINGH,class_8
100039,ADITYA SINGH RAJPUTugfshgufheuh fh,class_9
108540,AJAY KUMAR SONI,class_9
1037941,ALKA VERMA,class_9
183770,KRITIKA KHANDEKAR,class_9
183231,SHIVAM SINGH,class_8
1816832,SHI SINGH,class_8
